gene,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
MMEL1,0.07255877599472907,0.0,4.7245638e-05,0.0,0.009900990099009901,2.1160220065387626e-05,0.0,0.0,0.0222995272500223
SCCPDH,0.07170687878988072,0.0,4.7245638e-05,0.0,0.009900990099009901,2.684009219519745e-05,0.0,0.0,0.0222995272500223
NISCH,0.07143312236667608,0.0,4.7245638e-05,0.0,0.009900990099009901,3.4699477689492055e-05,0.0,0.0,0.0222995272500223
GFRA3,0.07059992717569133,0.0,4.7245638e-05,0.0,0.009900990099009901,3.4785186766504666e-05,0.0,0.0,0.0222995272500223
ECI2,0.070049688478489,0.0,4.7245638e-05,0.0,0.009900990099009901,3.42439026947856e-05,0.0,0.0,0.0222995272500223
MIR145,0.07000444689344332,0.0,4.7245638e-05,0.0,0.009900990099009901,2.7265273581857232e-05,0.0,0.0,0.0222995272500223
RP11-116D2.1,0.06919044403577315,0.0,4.7245638e-05,0.0,0.009900990099009901,3.9774560865761504e-05,0.0,0.0,0.0222995272500223
TRPV6,0.06910032828711668,0.0,4.7245638e-05,0.0,0.009900990099009901,3.915440829190596e-05,0.0,0.0,0.0222995272500223
PLS3,0.06787491558909543,0.0,4.7245638e-05,0.0,0.009900990099009901,3.525203961876392e-05,0.0,0.0,0.0222995272500223
CD83,0.06739959000614786,0.0,4.7245638e-05,0.0,0.009900990099009901,2.248352391476579e-05,0.0,0.0,0.0222995272500223
MTRNR2L6,0.06685284250457293,0.0,4.7245638e-05,0.0,0.009900990099009901,2.8923829682384953e-05,0.0,0.0,0.0222995272500223
REEP2,0.06598200136106919,0.0,4.7245638e-05,0.0,0.009900990099009901,1.644233775950864e-05,0.0,0.0,0.0222995272500223
PDGFRB,0.06597461295361873,0.0,4.7245638e-05,0.0,0.009900990099009901,3.2430518381797644e-05,0.0,0.0,0.0222995272500223
PLAT,0.06592937372347599,0.0,4.7245638e-05,0.0,0.009900990099009901,3.3158253698385274e-05,0.0,0.0,0.0222995272500223
HTRA3,0.06584202990160512,0.0,4.7245638e-05,0.0,0.009900990099009901,3.9075923369433514e-05,0.0,0.0,0.0222995272500223
C2orf40,0.06559148215023954,0.0,4.7245638e-05,0.0,0.009900990099009901,3.0155259026612905e-05,0.0,0.0,0.0222995272500223
ANXA1,0.06504164045534101,0.0,4.7245638e-05,0.0,0.009900990099009901,3.241635007318444e-05,0.0,0.0,0.0222995272500223
UXT,0.06487630354764345,0.0,4.7245638e-05,0.0,0.009900990099009901,3.268374893777682e-05,0.0,0.0,0.0222995272500223
SHROOM1,0.06461240539502475,0.0,4.7245638e-05,0.0,0.009900990099009901,3.9916911100359866e-05,0.0,0.0,0.0222995272500223
PAX8,0.06419568566891477,0.0,4.7245638e-05,0.0,0.009900990099009901,2.3439743030958068e-05,0.0,0.0,0.0222995272500223
SOX17,0.06320100571888643,0.0,4.7245638e-05,0.0,0.009900990099009901,2.693432382682953e-05,0.0,0.0,0.0222995272500223
MAGT1,0.06276924600798325,0.0,4.7245638e-05,0.0,0.009900990099009901,2.9327713102654992e-05,0.0,0.0,0.0222995272500223
RP11-572C15.6,0.061684260917290325,0.0,4.7245638e-05,0.0,0.009900990099009901,2.6850671145453336e-05,0.0,0.0,0.0222995272500223
PRDM8,0.061453292158321036,0.0,4.7245638e-05,1.1102230246251565e-16,0.009900990099009901,5.3890450366754375e-05,0.0,5.116235136521459e-16,0.0222995272500223
C2orf54,0.06093358832095005,0.0,4.7245638e-05,0.0,0.009900990099009901,3.130326339966539e-05,0.0,0.0,0.0222995272500223
NMRK1,0.05988580326214229,0.0,4.7245638e-05,0.0,0.009900990099009901,3.061370577338678e-05,0.0,0.0,0.0222995272500223
TKT,0.059863781692370714,0.0,4.7245638e-05,0.0,0.009900990099009901,3.038269295921285e-05,0.0,0.0,0.0222995272500223
CHRDL1,0.0590371518925312,0.0,4.7245638e-05,0.0,0.009900990099009901,4.435077958118855e-05,0.0,0.0,0.0222995272500223
ARHGAP4,0.058599407818578905,0.0,4.7245638e-05,0.0,0.009900990099009901,2.9527818581664265e-05,0.0,0.0,0.0222995272500223
MLF1,0.058513236592899864,0.0,4.7245638e-05,0.0,0.009900990099009901,1.707394479013495e-05,0.0,0.0,0.0222995272500223
OSR1,0.05840823413955322,0.0,4.7245638e-05,0.0,0.009900990099009901,4.5887993257792586e-05,0.0,0.0,0.0222995272500223
UBA7,0.05781661979758065,0.0,4.7245638e-05,0.0,0.009900990099009901,3.0316406202462002e-05,0.0,0.0,0.0222995272500223
GPC3,0.05776495127201619,0.0,4.7245638e-05,0.0,0.009900990099009901,2.803232665932382e-05,0.0,0.0,0.0222995272500223
